ID	Type
Acanthisitta_chloris	X
Accipiter_gentilis_atricapillus	Y
Accipiter_gentilis	Y
Accipiter_nisus	Y
Acridotheres_javanicus	X
Acrocephalus_arundinaceus	X
Acrocephalus_scirpaceus_scirpaceus	X
Aegithalos_caudatus	X
Aegotheles_bennettii	X
Agapornis_roseicollis	X
Agelaius_phoeniceus	X
Agelaius_tricolor	X
Alauda_arvensis	X
Alaudala_cheleensis	X
Alca_torda	Y
Aleadryas_rufinucha	X
Alectoris_rufa	X
Alectura_lathami	Y
Alopecoenas_beccarii	X
Amazona_aestiva	X
Amazona_collaria	X
Amazona_guildingii	X
Amazona_vittata	X
Amblyornis_subalaris	X
Ammodramus_savannarum_pratensis	X
Anas_platyrhynchos_platyrhynchos	X
Anas_platyrhynchos	X
Anas_zonorhyncha	X
Anhinga_anhinga	Y
Anhinga_rufa	X
Anodorhynchus_hyacinthinus	Y
Anomalopteryx_didiformis	Z
Anseranas_semipalmata	X
Anser_brachyrhynchus	X
Anser_cygnoides_domesticus	X
Anser_cygnoides	X
Anser_indicus	Y
Anthochaera_phrygia	X
Anthoscopus_minutus	X
Antigone_vipio	Y
Antrostomus_carolinensis	Y
Apaloderma_vittatum	X
Aphelocoma_coerulescens	X
Aptenodytes_forsteri	Y
Aptenodytes_patagonicus	Y
Apteryx_haastii	Z
Apteryx_mantelli_mantelli	Z
Apteryx_owenii	Z
Apteryx_rowi	Z
Apus_apus	X
Aquila_chrysaetos_canadensis	Y
Aquila_chrysaetos_chrysaetos	Y
Aquila_chrysaetos_japonica	Y
Ara_ararauna	X
Ara_chloropterus	X
Ara_glaucogularis	Y
Ara_macao	X
Ara_militaris	X
Aramus_guarauna	Y
Aratinga_solstitialis	X
Aratinga_weddellii	X
Ardeotis_arabs	X
Ardeotis_kori	X
Arenaria_interpres	Y
Asarcornis_scutulata	X
Athene_cunicularia	Y
Atlantisia_rogersi	X
Atrichornis_clamosus	X
Aythya_fuligula	Y
Balaeniceps_rex	Y
Balearica_regulorum_gibbericeps	Y
Bambusicola_thoracicus	X
Baryphthengus_martii	X
Bombycilla_garrulus	X
Brachypodius_atriceps	X
Brachypteracias_leptosomus	Y
Branta_canadensis	X
Bubo_blakistoni	Y
Bubo_bubo	Y
Bubo_scandiacus	Y
Bucco_capensis	X
Buceros_rhinoceros_silvestris	X
Bucorvus_abyssinicus	X
Buphagus_erythrorhynchus	X
Burhinus_bistriatus	Y
Burhinus_oedicnemus	Y
Buteo_japonicus	Y
Cairina_moschata_domestica	X
Cairina_moschata	Y
Calcarius_ornatus	X
Calidris_pugnax	Y
Calidris_pygmaea	Y
Callaeas_wilsoni	X
Callipepla_squamata	X
Caloenas_nicobarica	X
Calonectris_borealis	Y
Calypte_anna	X
Calyptomena_viridis	X
Camarhynchus_parvulus	X
Campylorhamphus_procurvoides	X
Caprimulgus_europaeus	X
Cardinalis_cardinalis	X
Cariama_cristata	Y
Casuarius_casuarius	Y
Cathartes_aura	Y
Catharus_fuscescens	X
Catharus_ustulatus	X
Centrocercus_minimus	X
Centrocercus_urophasianus	Y
Centropus_bengalensis	X
Centropus_unirufus	X
Cephalopterus_ornatus	X
Cepphus_grylle	Y
Cercotrichas_coryphoeus	X
Certhia_americana	X
