ID	Type
Alligator_mississippiensis	Z
Alligator_sinensis	Z
Crocodylus_porosus	Z
Gavialis_gangeticus	Z
Anolis_carolinensis	Z
Aspidoscelis_marmoratus	X
Bothrops_jararaca	Y
Calotes_versicolor	X
Chrysopelea_ornata	X
Crotalus_adamanteus	Y
Crotalus_horridus	X
Crotalus_pyrrhus	X
Crotalus_tigris	Y
Crotalus_viridis_viridis	Y
Emydocephalus_ijimae	Y
Gekko_japonicus	Z
Hydrophis_curtus	Y
Hydrophis_cyanocinctus	Y
Hydrophis_hardwickii	Y
Hydrophis_melanocephalus	X
Lacerta_agilis	Z
Lacerta_bilineata	Z
Lacerta_viridis	Z
Laticauda_colubrina	Y
Laticauda_laticaudata	X
Myanophis_thanlyinensis	X
Naja_naja	Y
Notechis_scutatus	Y
Ophiophagus_hannah	Y
Pantherophis_guttatus	Y
Pantherophis_obsoletus	Y
Paroedura_picta	Z
Phrynosoma_platyrhinos	Z
Pituophis_catenifer_pumilus	X
Podarcis_muralis_nigriventris	Z
Podarcis_muralis	Z
Pogona_vitticeps	X
Protobothrops_flavoviridis	Y
Protobothrops_mucrosquamatus	Y
Pseudonaja_textilis	Y
Ptyas_mucosa	Y
Python_bivittatus	Y
Salvator_merianae	X
Sceloporus_tristichus	Z
Sceloporus_undulatus	Z
Shinisaurus_crocodilurus	Z
Sphaerodactylus_townsendi	Z
Thamnophis_elegans	Y
Thamnophis_sirtalis	X
Thermophis_baileyi	Y
Varanus_komodoensis	Y
Vipera_berus_berus	Y
Zootoca_vivipara	Z
Actinemys_marmorata	Z
Apalone_spinifera	Y
Carettochelys_insculpta	Z
Chelonia_mydas	Z
Chelonoidis_abingdonii	Z
Chelydra_serpentina	Z
Chrysemys_picta_bellii	Z
Cuora_amboinensis	Z
Cuora_mccordi	Z
Dermatemys_mawii	Z
Dermochelys_coriacea	Z
Emydura_subglobosa	Z
Gopherus_agassizii	Z
Gopherus_evgoodei	Z
Malaclemys_terrapin_terrapin	Z
Mauremys_mutica	Z
Mauremys_reevesii	Z
Mesoclemmys_tuberculata	Z
Pelodiscus_sinensis	Z
Pelusios_castaneus	Z
Platysternon_megacephalum	Z
Podocnemis_expansa	Z
Rafetus_swinhoei	Y
Terrapene_carolina_triunguis	Z
Trachemys_scripta_elegans	Z
Sphenodon_punctatus	Y
